;gas_Inland_demand_2019_TJ;gas_imports_2019_mcm;gas_consumption_2019_ktoe;perc_of_fe;perc_of_pe
Belgium;706902;23227;10480;26;28
Bulgaria;110854;2950;1358;13;13
Czechia;332999;9533;5285;19;17
Denmark;127137;1139;1570;11;16
Germany;3521316;94787;55721;25;25
Estonia;17695;486;241;8;8
Ireland;213712;2852;1935;17;33
Greece;17695;5222;1353;8;20
Spain;1433267;37209;15017;17;25
France;1751336;54948;29457;19;15
Croatia;111926;2003;1509;21;28
Italy;2837254;71065;33686;28;40
Cyprus;0;0;0;0;0
Latvia;51327;1354;324;8;25
Lithuania;86732;2749;1543;23;24
Luxembourg;31976;779;623;16;17
Hungary;399329;18647;5862;29;32
Malta;14231;379;0;0;0
Netherlands;1487535;59288;19363;34;44
Austria;357663;14191;5137;18;23
Poland;744218;17451;11424;15;15
Portugal;245281;6069;1826;10;24
Romania;417962;2681;6203;25;28
Slovenia;34220;899;597;12;11
Slovakia;190089;6707;2928;26;24
Finland;99426;2594;713;3;6
Sweden;44547;1089;799;2;2
Norway;265664;27;254;1;10
United Kingdom;3162010;47380;38913;30;39
Montenegro;14231;0;0;0;0
North Macedonia;11357;292;43;2;9
Albania;2680;0;6;0;2
Serbia;92726;2263;1050;12;13
Turkey;1734435;45212;25610;24;25
Bosnia and Herzegovina;8745;231;140;3;3
Moldova;35256;1040;423;16;0
Ukraine;3162010;11567;13800;28;0
Georgia;107804;2686;1670;36;0
Switzerland;0;0;2750;14;14
