cluster,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10
planning_horizon,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
CCGT,48.600056101804455,69.2185169806394,200.7653179602799,203.21130569480746,236.17972222099286,177.04717013242865,182.0482212392199,48.60006920981663,44.019678818673086,54.34135312640403,65.16174359128746,73.46303795241404,78.61016798937088,203.31638413179473,69.7971395597946,80.51842677127365,211.1495412725113,214.75554879216617,239.5320971056025,134.11322822979295,177.60585204019256,69.79679694235237,74.83722621057245,83.52598999823516,81.80877512248878,83.04075547185174,82.2015270280656,231.0991392573789,69.86801420022461,80.76543802793833,211.36993576202266,215.1050948173365,239.97883522893162,135.03183824732668,178.10053436674573,69.86795794334395,75.61027982935228,86.19229803361672,84.0489647149632,83.60332144032034,83.3618163400462,210.38063461940922,69.97030258500035,81.07388066309764,211.72329112043434,215.6226919211504,240.04931254001008,136.14015425981015,178.71456995322436,69.9703473793944,75.87824181672595,86.92671836276244,83.92454867849884,83.61253810045996,81.98913778723659,207.0641848888061,70.85227217063822,81.27045893230361,212.3648664631548,217.5459949876666,239.78881005824312,137.6597423361816,177.34208990907982,70.85247581218471,75.31028092510418,86.96314031873175,84.18767751305316,84.5063798828448,81.54031940537504,206.62337990351935,80.11229517139105,81.48472131858095,212.23075343965198,219.4990142450619,239.03402561257627,137.50163335118893,178.62916968191035,80.11244101108358,80.16056903162966,84.21897593985611,82.58107589159076,82.82294124022233,83.13941392396357,213.32813719875142,85.91802658448835,82.27115797616379,212.80044271384946,219.66108407060662,239.55203445766296,146.81465719399782,183.26092082549755,85.91826018000867,82.27129418580311,84.02853052373978,82.5924543032618,82.58762653218362,83.2563832403423,213.47206958038268
DC,35.377329850714716,122.6409266491272,19.11082101547182,20.42622241954929,16.480069673284902,-8.242470202175761,-0.5312367319867719,35.33588647128746,2.4494232994919676,70.7363732582174,84.68967678916249,154.8737117940993,-211.54195555331327,22.769713764534266,89.23903998043542,196.19487659822363,4.634504826592577,12.330748887567799,9.98254175952854,-9.984841991459191,-4.483792340941378,89.37637379054803,82.04452990942411,110.49660310679357,122.78238418905764,281.60635850126334,463.9125134974298,20.96665276622251,89.52339371061468,180.54569970108514,4.637186023736965,12.217879934636338,9.761533349277217,-10.248034921277256,-5.211509830376369,89.34069578714595,83.2974288553915,119.56663648190005,124.07218109349743,247.28117001582248,320.9625736576056,19.438127166121387,86.24949909403166,192.70515542824194,5.1005428415481635,12.110946024667376,9.892014464123482,-10.151624309723617,-5.37922003537458,88.03038410399435,131.374730043235,119.74880311666047,121.19544589002233,224.78039375598829,296.5948151798099,19.440054661294255,71.73084681247008,178.3361018259364,5.486090729141937,7.765707451330855,7.800154471623329,-11.586355678306454,-5.700286693010443,71.8687404086583,86.72440024268714,109.54526656675817,126.42958931480278,225.31958383457248,307.77240371379736,19.4943864716189,140.24451892616017,162.35944169040843,6.871695131862275,7.792212808359472,9.034095536110229,-8.859004507138774,-32.57554139676707,140.87724608719336,138.93132478965083,166.41821182137423,150.78891356323692,241.4155871707374,887.9694039293702,22.005029366902455,239.1152316854453,206.4772764507551,8.691160447434156,8.74341294999324,10.163540183721976,-8.529482444942792,-67.69443638509216,238.72777212733388,206.50206331047795,388.8175691988654,758.7921737995318,540.6631875304713,-853.6362230130709,22.345226456335705
H2 Electrolysis,43.885367609715594,25.581006569502016,39.85168174705302,41.32789922334757,39.16153859527391,16.507590530077213,21.760998778154306,43.97474747935121,35.93843606754851,27.868026494430094,19.508608985401057,24.122298366454928,26.692400138636174,35.20554063808135,44.1654164382612,17.572222184265225,39.35931861448868,41.17839557137635,39.10716653268237,16.529235171468972,23.335335427406054,44.63492139162247,17.45919305680908,18.885088393553005,22.63155440859854,26.923089704361864,27.60623204481275,35.18618507255521,44.006892759989455,17.538065003488278,39.35752365507574,41.17396363838571,39.111255569813416,16.528303180244023,23.332298148267224,44.445758883403904,17.592533242216536,20.80771326762645,24.375984050645652,27.257152946837895,27.862843010197437,35.165579734090166,44.09987620523866,17.74799343698027,39.35338417726878,41.16924488474987,39.111101902945066,16.52907175513135,23.33235980479762,43.55367727635351,16.617798687863672,21.609597560004428,24.488300190383274,27.192047145411248,27.832497232942895,35.16683580911311,45.956329137147385,18.310553569831708,39.34374992318426,41.16230582742362,39.14019862933013,16.532952966360764,23.673917761950413,42.8786093095589,15.977411614757143,21.02847477392438,24.307347901787292,27.33326714287817,27.940679657247294,35.162353806376686,27.05075601242024,19.3600761148999,39.282761561343136,41.14333222867124,39.138651441002686,16.579536157158905,23.879788819509557,27.43551247121047,17.746732270307664,21.614485708551705,24.11818704178728,26.737481847646727,27.5593593858814,35.18979167982963,13.646957156400825,19.292047412052543,39.2670706065959,41.142867240846776,39.084912648375756,16.572957405884058,23.93227869054642,13.626618168261748,19.293713242068605,20.960499306300196,23.8193134840222,26.67349883389758,27.621476505314796,35.17419423978913
H2 Fuel Cell,47.121041640850976,65.0567061262429,105.83128647486292,105.85179775180231,93.68596212931381,92.71628178341943,101.61366014382892,47.10353527914507,43.70104962518132,52.24385820237898,58.4522233173958,64.91652759131486,67.79489599310342,210.2046711637815,55.26975813875231,69.89315917461052,114.57043497409875,109.63374964280507,94.74329668604531,91.92521575096659,103.95023135691225,55.303830564640734,62.305736140858826,67.6193265237562,67.35736288810936,67.841728423487,69.7804582035605,210.34930755241837,54.84029693104032,70.75985717630185,113.25331910980219,109.24636718513722,94.54303953141678,91.88624036874033,104.00507318867034,55.288695352916406,61.932255370093245,70.65843966160124,65.73588248175614,66.79652137340632,68.47188792731541,211.08130270121148,54.72025649181255,70.79699679221474,115.8457290512908,114.73596151376739,101.22567566194321,91.76863451747955,104.05140387211742,55.13104371231117,62.810508253756694,69.81203256595077,67.74312040400353,67.13208278341389,68.3222926614265,211.6020630523094,56.14047615407219,70.95230989103523,117.69068111185587,108.63618347848981,97.9271853070082,91.47051692625864,105.37363534713784,56.65178204636547,62.39588445472292,69.82217251208628,70.93246483680538,65.51018517528809,69.49102622261876,211.22362500922617,67.88838270674397,70.63378831499665,114.32439783093989,105.7702137691895,96.93086456360619,88.88851823103163,113.29500140226405,67.596852546124,68.8128103947942,69.43105800697809,69.13318307644596,65.67360625970159,64.9095268784799,204.92926126778895,75.32832658916132,72.99680682171925,113.57751960569641,113.03898983384325,95.65685816252505,86.84525453728709,112.92728511714898,75.44310256289133,73.04967008400187,70.9888705311921,67.97045850538952,65.40304133119625,67.00620625694836,200.04160733832592
OCGT,104.73488530244114,90.53929547657734,315.4792643698281,354.424050397329,470.0325771417175,435.25682059154934,352.3250427494564,104.78284490108445,191.36880153821383,126.76181856848775,149.51643915367836,132.38858370559075,142.61997416299354,279.50078836100295,161.65359690190257,110.55521667396935,323.85679109285365,359.72121933126886,420.5877579071372,436.9555315926406,360.95578887218545,161.58848222889927,387.50608369498525,220.66917209310012,190.89434831011906,188.31230984488397,129.65809910320075,273.1134217352939,168.3406881919877,110.32010688680506,325.99579682256,361.08510789449343,421.35285021882595,437.77665246319003,360.5933323226645,168.3231847383428,195.6227090298763,221.2129166085335,183.1237879635126,186.25327879438618,138.66519541872458,276.40366192492377,175.16464097612942,110.06957673501859,329.5516304204218,364.5994157668667,420.80564814733657,438.98193190204563,360.33914767425534,175.09393043439698,200.88212613749354,227.24298998979654,185.89389119476309,187.00255707002415,142.8065790589075,277.5113902686504,161.7843061312785,109.86162942238028,330.0723479085376,372.00976173896834,422.9641100384664,437.59860973360014,352.1306424245345,161.8446829021662,199.8217810845562,230.65293684387643,191.07707992695018,152.12617155143414,143.54932179141892,277.5546761600825,148.12688023555035,119.91409013270484,331.9215448540282,382.5891613011071,430.0498210479776,449.98640866517036,349.4173329552244,148.1437114920741,115.34151404873997,138.99896531004586,147.12812218965533,140.94544744740134,138.819366694849,281.07848817557334,140.551340141872,136.16273454180447,343.9058502246208,394.61991940101404,409.68643385149346,455.9296673046598,348.01000411904226,140.56137327542064,136.16241003398022,150.7731465013156,153.03275005985512,136.17274414244366,142.79774385903747,277.06976158931116
battery charger,46.06200283435743,54.83133741618461,50.24620753417949,48.20710282421937,42.8180090026786,25.928542051395386,28.869919188034547,46.04422321391749,41.39322017423874,41.959246148696685,35.55947403557249,34.92237046463056,36.22782744108071,43.07780980415521,50.12584252735053,56.78642833535947,50.42373652831427,48.06855654683275,42.90311613191795,25.794480063223208,29.916979603166574,50.092194518689624,52.78899941906934,42.76528012263338,40.19476786990449,37.760235242951296,38.73184918718784,43.16905589518983,50.17685337456662,56.327463314003595,50.42822138532506,48.054671484014364,42.93831884121167,25.76300838661155,29.921965673973027,50.087514610022865,53.576211819183634,42.942517288596704,40.02865073257547,38.1770424588397,37.75749598376647,43.115661372002194,50.187448484228625,56.87440746944068,50.43611190880132,48.056685491637296,42.94954340577112,25.74822879266723,29.90902401128501,49.987427628255524,53.19998357665954,43.016398523606995,39.9368468777605,37.720763734607225,37.50991506723192,43.02843739589691,52.03222865227677,56.46532599759666,50.467684430960645,48.08173474661827,42.96536829526428,25.776266774159907,30.576636796851894,51.96583027308934,53.949307030450896,43.043623025054444,39.94434700679343,37.83057259063718,37.52628055484366,43.03666073103792,50.15071461639229,56.613904503536034,50.40046177360458,48.08493204252869,42.93861244871732,25.86151356836324,30.83015327571617,50.90863712471695,56.16689877065176,43.34551623037351,40.10739120163569,37.50962857518905,37.08779873746883,42.91885329619541,36.0074759257427,31.97054199028874,50.368350138963685,48.13274929943136,42.89833724673264,25.832373652321383,31.88407283234995,35.97251102668609,31.982174890364092,43.34338245599685,40.228522977984525,37.780425749147795,36.93225924725541,42.88266363993919
battery discharger,46.65884906328595,58.98778630890013,100.21348144665453,90.00512605224908,74.09138177536492,45.98108299390976,46.49443110591605,46.67337969905859,42.798084964158335,69.69304800292296,79.87415084082062,66.0490902514472,65.1492665304674,68.87890713364563,53.33069956533909,63.87646181826421,100.41654356880801,90.13485151851378,74.03224381336216,48.11237701543906,48.18988267035221,53.03768244493993,57.99814635232033,99.72788448504804,76.66934399881195,70.42590840245819,66.98699405964065,68.89081340378226,53.05367371449464,63.368817222002086,100.42301701019265,90.11946654594695,74.05031437064825,48.08517973280815,48.205392690411195,53.27477090754043,57.702675176467416,95.91705193172288,80.04712665540039,69.91809275312347,65.93902117485607,68.82623724657813,53.00421230035379,63.9885743626944,100.42800263544092,90.1147297334945,74.0513629826386,48.07405080082498,48.225773222553094,52.969766965421826,58.55020642234489,95.53680122699944,80.13709580009764,69.70699615654812,65.66941561160331,68.75408581967469,55.661756320438464,63.91019795517467,100.45887828106642,90.1160291480069,74.17185900153348,48.12510191025274,49.19793193889762,55.28202029504184,58.75396869874697,95.6180096998076,80.14241653113667,69.87226089721783,65.6610477760565,68.73868979414881,87.53807506884755,64.35553122952248,100.41215504163125,90.09167282140896,74.16219170020912,47.99520593616375,49.69967837829445,84.49868093594381,61.98523044923328,95.60770515966217,80.08366438941752,69.4507100647874,65.36091547909109,68.67376570190979,146.06737048959573,94.54830580463782,100.36135729820288,90.09400873120344,74.15005258313188,47.986851923199936,51.518536653428605,146.2612780404698,94.53054638111759,96.63816784452372,79.69173508388687,69.8455457586306,65.45213811043574,68.58328512201979
